2402492	INDIV STUD        	3  	                                                                                	          	         	          	TDF      	1  	LECT 	IA	  	  	  	  	  	  	IA-IA    	POL1 	IA   	NKM                          	4TH YEAR ONLY       	INSTRUCTOR CONSENT  	                    	5  	16/01/2559 20:00
2402492	INDIV STUD        	3  	                                                                                	          	         	          	TDF      	2  	LECT 	TH	  	  	  	  	  	  	1300-1600	POL3 	AR   	SJN                          	4TH YEAR ONLY       	INSTRUCTOR CONSENT  	                    	3  	16/01/2559 20:00
2402609	AREA STUIES       	3  	                                                                                	          	         	          	TDF      	1  	LECT 	TH	  	  	  	  	  	  	1300-1600	POL3 	614  	CPS                          	                    	                    	                    	15 	16/01/2559 20:00
2402609	AREA STUIES       	3  	                                                                                	          	         	          	TDF      	2  	LECT 	SA	  	  	  	  	  	  	0900-1200	POL3 	507  	CPS                          	M.A.I.R             	                    	                    	45 	16/01/2559 20:00
2402614	THAI FOR POLICY   	3  	                                                                                	          	         	          	TDF      	1  	LECT 	WE	  	  	  	  	  	  	0900-1200	POL3 	907/5	SBS                          	PH.D.PROGRAM        	                    	                    	15 	16/01/2559 20:00
2402625	RES METH INT REL  	3  	                                                                                	          	         	          	TDF      	1  	LECT 	WE	  	  	  	  	  	  	1300-1600	POL3 	907/5	VSB                          	                    	                    	                    	15 	16/01/2559 20:00
2402625	RES METH INT REL  	3  	                                                                                	          	         	          	TDF      	2  	LECT 	FR	  	  	  	  	  	  	1730-2030	POL3 	507  	VSB                          	M.A.I.R             	                    	                    	45 	16/01/2559 20:00
2402688	MID E WRLD POL    	3  	                                                                                	          	         	          	TDF      	1  	LECT 	TH	  	  	  	  	  	  	1300-1600	POL3 	614  	CPS                          	                    	                    	                    	3  	16/01/2559 20:00
2402689	DEV INTER SYS     	3  	                                                                                	          	         	          	TDF      	1  	LECT 	FR	  	  	  	  	  	  	1300-1600	POL1 	102  	TSK                          	                    	                    	                    	20 	16/01/2559 20:00
2402689	DEV INTER SYS     	3  	                                                                                	          	         	          	TDF      	2  	LECT 	SA	  	  	  	  	  	  	1300-1600	POL3 	514  	TSK                          	M.A.I.R             	                    	                    	45 	16/01/2559 20:00
2402701	INDI STUDY        	6  	                                                                                	          	         	          	TDF      	2  	IDPS 	IA	  	  	  	  	  	  	IA-IA    	POL3 	IA   	STAFF                        	M.A.I.R             	                    	                    	50 	16/01/2559 20:00
2402720	INDIV STUD IR     	3  	                                                                                	          	         	          	TDF      	1  	IDPS 	IA	  	  	  	  	  	  	IA-IA    	POL3 	907/5	STAFF                        	PH.D. INSTRUCTOR    	CONSENT             	                    	3  	16/01/2559 20:00
2402811	THESIS            	12 	                                                                                	          	         	          	TDF      	1  	IDPS 	IA	  	  	  	  	  	  	IA-IA    	POL3 	IA   	STAFF                        	                    	                    	                    	50 	16/01/2559 20:00
2402896	COMPREHENSIVE EXAM	0  	                                                                                	          	         	          	TDF      	2  	LECT 	IA	  	  	  	  	  	  	IA-IA    	POL3 	IA   	STAFF                        	M.A.I.R.            	                    	                    	50 	16/01/2559 20:00
2403151	SOC MEDIA         	3  	                                                                                	          	         	          	TDF      	1  	LECT 	MO	  	  	  	  	  	  	0900-1000	POL1 	102  	AWW                          	                    	                    	                    	20 	16/01/2559 20:00
2403151	SOC MEDIA         	3  	                                                                                	          	         	          	TDF      	1  	SMNA 	MO	  	  	  	  	  	  	1000-1200	POL1 	102  	AWW                          	                    	                    	                    	20 	16/01/2559 20:00
2403183	SOCIETY & CULTURE 	3  	                                                                                	01/03/2559	0830-1030	18/05/2559	0830-1030	1  	LECT 	TU	  	  	  	  	  	  	0830-1130	POL3 	13081	SAK                          	GENED-SO            	                    	                    	300	16/01/2559 20:00
2403185	JUV DEL           	3  	                                                                                	          	         	04/05/2559	1300-1500	1  	LECT 	WE	  	  	  	  	  	  	1300-1600	POL3 	13081	ULK                          	GENED-SO            	                    	                    	100	16/01/2559 20:00
2403185	JUV DEL           	3  	                                                                                	          	         	04/05/2559	1300-1500	2  	LECT 	WE	  	  	  	  	  	  	1300-1600	POL3 	13081	ULK                          	POL SCI ONLY        	                    	                    	40 	16/01/2559 20:00
2403212	RURAL SOCIOLOGY   	3  	                                                                                	04/03/2559	1300-1500	16/05/2559	1300-1600	1  	LECT 	FR	  	  	  	  	  	  	1300-1600	POL3 	507  	JSN                          	                    	                    	                    	75 	16/01/2559 20:00
