0201203	IDEAL GRADUATE III	3  	                                                                                	          	         	          	TDF      	1  	DISC 	TU	  	  	  	  	  	  	0900-1200	VIDHA	407  	STAFF                        	GENED-IN            	                    	                    	40 	16/01/2559 20:00
0201204	IDEAL GRADUATE IV 	3  	                                                                                	          	         	          	TDF      	1  	DISC 	TH	  	  	  	  	  	  	1300-1600	VIDHA	408  	STAFF                        	GENED-IN            	                    	                    	40 	16/01/2559 20:00
0201205	IDEAL GRADUATE V  	3  	                                                                                	          	         	          	TDF      	1  	DISC 	WE	  	  	  	  	  	  	1300-1600	VIDHA	408  	STAFF                        	GENED-IN            	                    	                    	20 	16/01/2559 20:00
0201209	VALUE URB ENV     	3  	                                                                                	          	         	          	TDF      	1  	LECT 	TH	  	  	  	  	  	  	1300-1400	VIDHA	405  	STAFF                        	GENED-IN            	                    	                    	40 	16/01/2559 20:00
0201209	VALUE URB ENV     	3  	                                                                                	          	         	          	TDF      	1  	DISC 	TH	  	  	  	  	  	  	1400-1500	VIDHA	405  	STAFF                        	                    	                    	                    	40 	16/01/2559 20:00
0201209	VALUE URB ENV     	3  	                                                                                	          	         	          	TDF      	1  	FWK  	TH	  	  	  	  	  	  	1500-1600	VIDHA	405  	STAFF                        	                    	                    	                    	40 	16/01/2559 20:00
0201209	VALUE URB ENV     	3  	                                                                                	          	         	          	TDF      	1  	FWK  	IA	  	  	  	  	  	  	IA-IA    	     	IA   	STAFF                        	                    	                    	                    	40 	16/01/2559 20:00
0201210	MAT MGT GREEN     	3  	                                                                                	          	         	          	TDF      	1  	LECT 	FR	  	  	  	  	  	  	1300-1600	VIDHA	404  	STAFF                        	GENED-IN            	                    	                    	50 	16/01/2559 20:00
0201211	MEDITAT LIFE DEV  	3  	                                                                                	          	         	          	TDF      	1  	LECT 	WE	  	  	  	  	  	  	1300-1500	CUP13	608  	STAFF                        	GENED-HU            	                    	                    	80 	16/01/2559 20:00
0201211	MEDITAT LIFE DEV  	3  	                                                                                	          	         	          	TDF      	1  	PRAC 	WE	  	  	  	  	  	  	1500-1600	CUP13	608  	STAFF                        	                    	                    	                    	80 	16/01/2559 20:00
0201211	MEDITAT LIFE DEV  	3  	                                                                                	          	         	          	TDF      	1  	PRAC 	IA	  	  	  	  	  	  	IA-IA    	     	IA   	STAFF                        	                    	                    	                    	80 	16/01/2559 20:00
0201211	MEDITAT LIFE DEV  	3  	                                                                                	          	         	          	TDF      	2  	LECT 	TH	  	  	  	  	  	  	1300-1500	CUP13	608  	STAFF                        	GENED-HU            	                    	                    	80 	16/01/2559 20:00
0201211	MEDITAT LIFE DEV  	3  	                                                                                	          	         	          	TDF      	2  	PRAC 	TH	  	  	  	  	  	  	1500-1600	CUP13	608  	STAFF                        	                    	                    	                    	80 	16/01/2559 20:00
0201211	MEDITAT LIFE DEV  	3  	                                                                                	          	         	          	TDF      	2  	PRAC 	IA	  	  	  	  	  	  	IA-IA    	     	IA   	STAFF                        	                    	                    	                    	80 	16/01/2559 20:00
0201231	URB COMM STUD     	3  	                                                                                	          	         	          	TDF      	1  	LECT 	FR	  	  	  	  	  	  	0900-1000	MAHIT	515  	STAFF                        	GENED-IN            	                    	                    	30 	16/01/2559 20:00
0201231	URB COMM STUD     	3  	                                                                                	          	         	          	TDF      	1  	SMNA 	FR	  	  	  	  	  	  	1000-1100	MAHIT	515  	STAFF                        	                    	                    	                    	30 	16/01/2559 20:00
0201231	URB COMM STUD     	3  	                                                                                	          	         	          	TDF      	1  	FWK  	FR	  	  	  	  	  	  	1100-1200	MAHIT	515  	STAFF                        	                    	                    	                    	30 	16/01/2559 20:00
0201231	URB COMM STUD     	3  	                                                                                	          	         	          	TDF      	1  	FWK  	IA	  	  	  	  	  	  	IA-IA    	     	IA   	STAFF                        	                    	                    	                    	30 	16/01/2559 20:00
0201231	URB COMM STUD     	3  	                                                                                	          	         	          	TDF      	2  	LECT 	FR	  	  	  	  	  	  	0900-1000	MAHIT	516  	STAFF                        	GENED-IN            	                    	                    	30 	16/01/2559 20:00
0201231	URB COMM STUD     	3  	                                                                                	          	         	          	TDF      	2  	SMNA 	FR	  	  	  	  	  	  	1000-1100	MAHIT	516  	STAFF                        	                    	                    	                    	30 	16/01/2559 20:00
0201231	URB COMM STUD     	3  	                                                                                	          	         	          	TDF      	2  	FWK  	FR	  	  	  	  	  	  	1100-1200	MAHIT	516  	STAFF                        	                    	                    	                    	30 	16/01/2559 20:00
0201231	URB COMM STUD     	3  	                                                                                	          	         	          	TDF      	2  	FWK  	IA	  	  	  	  	  	  	IA-IA    	     	IA   	STAFF                        	                    	                    	                    	30 	16/01/2559 20:00
0201232	MULTI STUD RUR DEV	3  	                                                                                	          	         	          	TDF      	1  	LECT 	WE	  	  	  	  	  	  	1300-1400	VIDHA	404  	SSK                          	GENED-IN            	                    	                    	45 	16/01/2559 20:00
0201232	MULTI STUD RUR DEV	3  	                                                                                	          	         	          	TDF      	1  	DISC 	WE	  	  	  	  	  	  	1400-1500	VIDHA	404  	SSK                          	                    	                    	                    	45 	16/01/2559 20:00
0201232	MULTI STUD RUR DEV	3  	                                                                                	          	         	          	TDF      	1  	FWK  	IA	  	  	  	  	  	  	IA-IA    	     	IA   	SSK                          	                    	                    	                    	45 	16/01/2559 20:00
0201251	P2 CONTROL        	3  	                                                                                	          	         	          	TDF      	1  	LECT 	TU	  	  	  	  	  	  	1300-1600	VIDHA	404  	STAFF                        	GENED-IN            	                    	                    	45 	16/01/2559 20:00
0201251	P2 CONTROL        	3  	                                                                                	          	         	          	TDF      	2  	LECT 	TH	  	  	  	  	  	  	1300-1600	VIDHA	403B 	STAFF                        	GENED-IN            	                    	                    	45 	16/01/2559 20:00
0201252	ALT ENGY CONS     	3  	                                                                                	          	         	          	TDF      	1  	LECT 	WE	  	  	  	  	  	  	0900-1200	VIDHA	408  	STAFF                        	GENED-IN            	                    	                    	50 	16/01/2559 20:00
0201254	GLOB WARM ADAPT   	3  	                                                                                	          	         	          	TDF      	1  	LECT 	WE	  	  	  	  	  	  	0900-1200	VIDHA	404  	STAFF                        	GENED-IN            	                    	                    	50 	16/01/2559 20:00
0201255	ICT STRATEGIC MGT 	3  	                                                                                	          	         	          	TDF      	1  	LECT 	TU	  	  	  	  	  	  	1300-1600	ENG3 	315  	PTP                          	GENED-IN            	                    	                    	60 	16/01/2559 20:00
0201281	TEAM/ORG DEV      	3  	                                                                                	          	         	          	TDF      	1  	LECT 	WE	  	  	  	  	  	  	1300-1600	VIDHA	407  	STAFF                        	GENED-IN            	                    	                    	45 	16/01/2559 20:00
