2940204	MACROECON THEO I  	4  	2940104 AND 2945111                                                             	          	         	10/05/2559	0830-1130	3  	TUT  	FR	  	  	  	  	  	  	1300-1500	MAHIT	711  	PSC                          	                    	                    	                    	35 	16/01/2559 20:00
2940204	MACROECON THEO I  	4  	2940104 AND 2945111                                                             	          	         	10/05/2559	0830-1130	4  	LECT 	TU	  	  	  	  	  	  	0830-1000	MAHIT	712  	MUY                          	                    	                    	                    	35 	16/01/2559 20:00
2940204	MACROECON THEO I  	4  	2940104 AND 2945111                                                             	          	         	10/05/2559	0830-1130	4  	TUT  	FR	  	  	  	  	  	  	1300-1500	MAHIT	712  	MUY                          	                    	                    	                    	35 	16/01/2559 20:00
2940308	MICROECON THEO II 	4  	2940203                                                                         	          	         	16/05/2559	0830-1130	1  	LECT 	MO	  	  	  	  	  	  	1000-1130	MAHIT	612  	JCS                          	                    	                    	                    	50 	16/01/2559 20:00
2940308	MICROECON THEO II 	4  	2940203                                                                         	          	         	16/05/2559	0830-1130	1  	TUT  	FR	  	  	  	  	  	  	1000-1200	MAHIT	612  	JCS                          	                    	                    	                    	50 	16/01/2559 20:00
2940308	MICROECON THEO II 	4  	2940203                                                                         	          	         	16/05/2559	0830-1130	2  	LECT 	MO	  	  	  	  	  	  	1000-1130	MAHIT	712  	JBK                          	                    	                    	                    	50 	16/01/2559 20:00
2940308	MICROECON THEO II 	4  	2940203                                                                         	          	         	16/05/2559	0830-1130	2  	TUT  	FR	  	  	  	  	  	  	1000-1200	MAHIT	712  	JBK                          	                    	                    	                    	50 	16/01/2559 20:00
2940309	MACROECON THEO II 	4  	2940204                                                                         	          	         	10/05/2559	0830-1130	1  	LECT 	TU	  	  	  	  	  	  	0830-1000	MAHIT	208  	SLO                          	                    	                    	                    	50 	16/01/2559 20:00
2940309	MACROECON THEO II 	4  	2940204                                                                         	          	         	10/05/2559	0830-1130	1  	TUT  	FR	  	  	  	  	  	  	0800-1000	MAHIT	609  	SLO                          	                    	                    	                    	50 	16/01/2559 20:00
2940309	MACROECON THEO II 	4  	2940204                                                                         	          	         	10/05/2559	0830-1130	2  	LECT 	TU	  	  	  	  	  	  	0830-1000	MAHIT	305  	NWY                          	                    	                    	                    	50 	16/01/2559 20:00
2940309	MACROECON THEO II 	4  	2940204                                                                         	          	         	10/05/2559	0830-1130	2  	TUT  	FR	  	  	  	  	  	  	0800-1000	MAHIT	712  	NWY                          	                    	                    	                    	50 	16/01/2559 20:00
2940310	HIST ECON THOUGHT 	3  	2940203 AND 2940204                                                             	          	         	03/05/2559	1300-1600	1  	LECT 	FR	  	  	  	  	  	  	1300-1600	MAHIT	407  	PLA                          	                    	                    	                    	50 	16/01/2559 20:00
2940311	EXPER ECON        	3  	2940308                                                                         	          	         	          	TDF      	1  	LECT 	TH	  	  	  	  	  	  	0830-1030	MAHIT	610  	TCW                          	                    	                    	                    	30 	16/01/2559 20:00
2940311	EXPER ECON        	3  	2940308                                                                         	          	         	          	TDF      	1  	LAB  	TH	  	  	  	  	  	  	1030-1230	MAHIT	610  	TCW                          	                    	                    	                    	30 	16/01/2559 20:00
2940408	POL ECON          	3  	2940310                                                                         	          	         	12/05/2559	0830-1130	1  	LECT 	TU	  	  	  	  	  	  	1300-1600	MAHIT	612  	GML                          	                    	                    	                    	50 	16/01/2559 20:00
2940414	GAME THEORY       	3  	2940308                                                                         	          	         	          	TDF      	1  	LECT 	TH	  	  	  	  	  	  	0900-1200	MAHIT	615  	TPT                          	                    	                    	                    	40 	16/01/2559 20:00
2940502	ADV MACROECON THEO	3  	2940309                                                                         	          	         	02/05/2559	0830-1130	1  	LECT 	MO	  	  	  	  	  	  	0900-1200	MAHIT	711  	MUY,SMP                      	                    	                    	                    	40 	16/01/2559 20:00
2941102	THAI ECONOMY      	3  	                                                                                	          	         	04/05/2559	0830-1130	2  	LECT 	MO	  	  	  	  	  	  	1300-1600	MAHIT	305  	SBN                          	                    	                    	                    	75 	16/01/2559 20:00
2941102	THAI ECONOMY      	3  	                                                                                	          	         	04/05/2559	0830-1130	3  	LECT 	MO	  	  	  	  	  	  	1300-1600	MAHIT	207  	PKS                          	                    	                    	                    	75 	16/01/2559 20:00
2941308	ECON DEV          	3  	2940203 AND 2940204                                                             	          	         	10/05/2559	0830-1130	1  	LECT 	TU	  	  	  	  	  	  	0830-1000	MAHIT	609  	PPP                          	                    	                    	                    	50 	16/01/2559 20:00
2941308	ECON DEV          	3  	2940203 AND 2940204                                                             	          	         	10/05/2559	0830-1130	2  	LECT 	TU	  	  	  	  	  	  	0830-1000	MAHIT	306  	SBM                          	                    	                    	                    	50 	16/01/2559 20:00
2941401	FIELD SEMINAR     	2  	2900305/2941102                                                                 	          	         	16/05/2559	0830-1130	1  	SMNA 	WE	  	  	  	  	  	  	1300-1500	MAHIT	305  	KTS                          	                    	                    	                    	45 	16/01/2559 20:00
2941401	FIELD SEMINAR     	2  	2900305/2941102                                                                 	          	         	16/05/2559	0830-1130	2  	SMNA 	WE	  	  	  	  	  	  	1300-1500	ECON 	412  	STAFF                        	                    	                    	                    	45 	16/01/2559 20:00
2941402	POV INEQUAL       	3  	2940308/2941308                                                                 	          	         	18/05/2559	0830-1130	1  	LECT 	TH	  	  	  	  	  	  	1300-1600	MAHIT	604  	ISS                          	                    	                    	                    	40 	16/01/2559 20:00
2941405	THAI ECON HIS     	3  	2941102                                                                         	          	         	02/05/2559	0830-1130	1  	LECT 	MO	  	  	  	  	  	  	0900-1200	MAHIT	704  	NWK                          	                    	                    	                    	40 	16/01/2559 20:00
2941413	GLOB WLD ECON DEV 	3  	2941308                                                                         	          	         	12/05/2559	0830-1130	1  	LECT 	TU	  	  	  	  	  	  	1300-1600	MAHIT	208  	TBP                          	                    	                    	                    	53 	16/01/2559 20:00
2941423	SEM DEV ECON      	3  	2941412 OR 2941413                                                              	          	         	16/05/2559	0830-1130	1  	LECT 	WE	  	  	  	  	  	  	1300-1600	MAHIT	516  	SBM                          	                    	                    	                    	50 	16/01/2559 20:00
2942307	INTER ECON        	3  	2940203 AND 2940204                                                             	          	         	18/05/2559	0830-1130	1  	LECT 	TU	  	  	  	  	  	  	1300-1430	MAHIT	709  	DAK                          	                    	                    	                    	54 	16/01/2559 20:00
2942307	INTER ECON        	3  	2940203 AND 2940204                                                             	          	         	18/05/2559	0830-1130	2  	LECT 	TU	  	  	  	  	  	  	1300-1430	MAHIT	711  	PSN                          	                    	                    	                    	50 	16/01/2559 20:00
2942406	MULTI ENTERP      	3  	2942307                                                                         	          	         	18/05/2559	0830-1130	1  	LECT 	TH	  	  	  	  	  	  	1300-1600	ECON 	412  	BRT                          	                    	                    	                    	40 	16/01/2559 20:00
2942412	INTER MON ECON    	3  	2942307 AND 2944310                                                             	          	         	18/05/2559	0830-1130	1  	LECT 	TH	  	  	  	  	  	  	1300-1600	MAHIT	710  	PWK                          	                    	                    	                    	50 	16/01/2559 20:00
2942412	INTER MON ECON    	3  	2942307 AND 2944310                                                             	          	         	18/05/2559	0830-1130	2  	LECT 	TH	  	  	  	  	  	  	1300-1600	MAHIT	712  	PCY                          	                    	                    	                    	50 	16/01/2559 20:00
2942418	SEM INTER ECON    	3  	2942401 OR 2942412                                                              	          	         	04/05/2559	0830-1130	1  	LECT 	MO	  	  	  	  	  	  	1300-1600	MAHIT	504  	SSC                          	                    	                    	                    	50 	16/01/2559 20:00
2943307	PUB ECON          	3  	2940308                                                                         	          	         	12/05/2559	0830-1130	1  	LECT 	TU	  	  	  	  	  	  	1430-1730	MAHIT	709  	TKS                          	                    	                    	                    	50 	16/01/2559 20:00
2943307	PUB ECON          	3  	2940308                                                                         	          	         	12/05/2559	0830-1130	2  	LECT 	TU	  	  	  	  	  	  	1430-1730	MAHIT	711  	WSD                          	                    	                    	                    	50 	16/01/2559 20:00
2943410	THEO PUB EXPEND   	3  	2943307                                                                         	          	         	02/05/2559	0830-1130	1  	LECT 	MO	  	  	  	  	  	  	0900-1200	MAHIT	602  	AMR                          	                    	                    	                    	50 	16/01/2559 20:00
2944310	ECON MON FIN MAR  	3  	2940203 AND 2940204                                                             	          	         	04/05/2559	0830-1130	1  	LECT 	MO	  	  	  	  	  	  	1300-1600	MAHIT	611  	RHW                          	                    	                    	                    	50 	16/01/2559 20:00
2944310	ECON MON FIN MAR  	3  	2940203 AND 2940204                                                             	          	         	04/05/2559	0830-1130	2  	LECT 	MO	  	  	  	  	  	  	1300-1600	MAHIT	709  	SMM                          	                    	                    	                    	50 	16/01/2559 20:00
2944405	INVESTMENTS       	3  	2944310                                                                         	          	         	13/05/2559	0830-1130	1  	LECT 	WE	  	  	  	  	  	  	0900-1200	MAHIT	611  	SSN                          	                    	                    	                    	50 	16/01/2559 20:00
