3900200,EX/SP HLTH        ,3  ,                                                                                ,          ,         ,          ,TDF      ,1  ,LECT ,TU,  ,  ,  ,  ,  ,  ,0900-1100,BSB2 ,202/1,CCP,SPB                      ,                    ,                    ,                    ,40 ,16/01/2559 20:00
3900200,EX/SP HLTH        ,3  ,                                                                                ,          ,         ,          ,TDF      ,1  ,PRAC ,TU,  ,  ,  ,  ,  ,  ,1100-1300,BSB2 ,202/1,CCP,SPB                      ,                    ,                    ,                    ,40 ,16/01/2559 20:00
3900201,MASSAGE FOR HEALTH,3  ,                                                                                ,          ,         ,          ,TDF      ,1  ,LECT ,WE,  ,  ,  ,  ,  ,  ,0800-0900,CUP7 ,1113 ,SSS,WLW                      ,ID.543XXXXX39       ,                    ,                    ,2  ,16/01/2559 20:00
3900201,MASSAGE FOR HEALTH,3  ,                                                                                ,          ,         ,          ,TDF      ,1  ,PRAC ,WE,  ,  ,  ,  ,  ,  ,0900-1300,CUP7 ,1113 ,SSS,WLW                      ,                    ,                    ,                    ,2  ,16/01/2559 20:00
3900227,PRE SP INJ/FST AID,3  ,3900222                                                                         ,          ,         ,          ,TDF      ,1  ,LECT ,WE,  ,  ,  ,  ,  ,  ,1300-1500,CUP7 ,1114 ,WTK                          ,                    ,                    ,                    ,15 ,16/01/2559 20:00
3900227,PRE SP INJ/FST AID,3  ,3900222                                                                         ,          ,         ,          ,TDF      ,1  ,PRAC ,WE,  ,  ,  ,  ,  ,  ,1500-1700,CUP7 ,1111 ,WTK                          ,                    ,                    ,                    ,15 ,16/01/2559 20:00
3900251,TABLE TENNIS      ,1  ,                                                                                ,          ,         ,          ,TDF      ,1  ,PRAC ,MO,  ,  ,  ,  ,  ,  ,1500-1700,CUSC ,TABLE,STAFF                        ,                    ,                    ,                    ,30 ,16/01/2559 20:00
3900261,YOGA              ,1  ,                                                                                ,          ,         ,          ,TDF      ,1  ,PRAC ,MO,  ,  ,  ,  ,  ,  ,1300-1500,CUP8 ,2204 ,STAFF                        ,NON SPSC            ,                    ,                    ,60 ,16/01/2559 20:00
3900261,YOGA              ,1  ,                                                                                ,          ,         ,          ,TDF      ,2  ,PRAC ,WE,  ,  ,  ,  ,  ,  ,1300-1500,CUP8 ,2204 ,STAFF                        ,NON SPSC            ,                    ,                    ,57 ,16/01/2559 20:00
3900321,INTRO SPT BIOMECH ,2  ,                                                                                ,          ,         ,          ,TDF      ,1  ,LECT ,MO,  ,  ,  ,  ,  ,  ,0900-1100,CUP7 ,1111 ,NCN                          ,                    ,                    ,                    ,80 ,16/01/2559 20:00
3900402,WATER SAFE/LIFE   ,1  ,3900120 OR 3900133                                                              ,          ,         ,          ,TDF      ,1  ,PRAC ,MO,  ,  ,  ,  ,  ,  ,1300-1500,CUSCS,SWIM ,STAFF                        ,NON SPSC            ,                    ,                    ,20 ,16/01/2559 20:00
3900403,PROF EXP          ,5  ,                                                                                ,          ,         ,          ,TDF      ,1  ,FWK  ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,CUP7 ,1231 ,STAFF                        ,                    ,                    ,                    ,10 ,16/01/2559 20:00
3900813,THESIS            ,18 ,                                                                                ,          ,         ,          ,TDF      ,1  ,IDPS ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,CUP7 ,IA   ,TKP                          ,                    ,                    ,                    ,10 ,16/01/2559 20:00
3900813,THESIS            ,18 ,                                                                                ,          ,         ,          ,TDF      ,10 ,IDPS ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,CUP7 ,IA   ,CLR                          ,                    ,                    ,                    ,10 ,16/01/2559 20:00
3900813,THESIS            ,18 ,                                                                                ,          ,         ,          ,TDF      ,11 ,IDPS ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,CUP7 ,IA   ,NKK                          ,                    ,                    ,                    ,10 ,16/01/2559 20:00
3900813,THESIS            ,18 ,                                                                                ,          ,         ,          ,TDF      ,12 ,IDPS ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,CUP7 ,IA   ,WBR                          ,                    ,                    ,                    ,10 ,16/01/2559 20:00
3900813,THESIS            ,18 ,                                                                                ,          ,         ,          ,TDF      ,13 ,IDPS ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,CUP7 ,IA   ,SKK                          ,                    ,                    ,                    ,10 ,16/01/2559 20:00
3900813,THESIS            ,18 ,                                                                                ,          ,         ,          ,TDF      ,14 ,IDPS ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,CUP7 ,IA   ,PLS                          ,                    ,                    ,                    ,10 ,16/01/2559 20:00
3900813,THESIS            ,18 ,                                                                                ,          ,         ,          ,TDF      ,15 ,IDPS ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,CUP7 ,IA   ,TGC                          ,                    ,                    ,                    ,10 ,16/01/2559 20:00
3900813,THESIS            ,18 ,                                                                                ,          ,         ,          ,TDF      ,16 ,IDPS ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,CUP7 ,IA   ,STK                          ,                    ,                    ,                    ,10 ,16/01/2559 20:00
3900813,THESIS            ,18 ,                                                                                ,          ,         ,          ,TDF      ,17 ,IDPS ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,CUP7 ,IA   ,CKV                          ,                    ,                    ,                    ,10 ,16/01/2559 20:00
3900813,THESIS            ,18 ,                                                                                ,          ,         ,          ,TDF      ,18 ,IDPS ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,CUP7 ,IA   ,JTB                          ,                    ,                    ,                    ,10 ,16/01/2559 20:00
3900813,THESIS            ,18 ,                                                                                ,          ,         ,          ,TDF      ,19 ,IDPS ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,CUP7 ,IA   ,STAFF                        ,                    ,                    ,                    ,10 ,16/01/2559 20:00
3900813,THESIS            ,18 ,                                                                                ,          ,         ,          ,TDF      ,2  ,IDPS ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,CUP7 ,IA   ,VKS                          ,                    ,                    ,                    ,10 ,16/01/2559 20:00
3900813,THESIS            ,18 ,                                                                                ,          ,         ,          ,TDF      ,20 ,IDPS ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,CUP7 ,IA   ,STAFF                        ,                    ,                    ,                    ,10 ,16/01/2559 20:00
3900813,THESIS            ,18 ,                                                                                ,          ,         ,          ,TDF      ,3  ,IDPS ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,CUP7 ,IA   ,CCP                          ,                    ,                    ,                    ,10 ,16/01/2559 20:00
3900813,THESIS            ,18 ,                                                                                ,          ,         ,          ,TDF      ,4  ,IDPS ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,CUP7 ,IA   ,CIP                          ,                    ,                    ,                    ,10 ,16/01/2559 20:00
3900813,THESIS            ,18 ,                                                                                ,          ,         ,          ,TDF      ,5  ,IDPS ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,CUP7 ,IA   ,DCP                          ,                    ,                    ,                    ,10 ,16/01/2559 20:00
