2800548,SEM TECH/VIS COMM ,3  ,                                                                                ,          ,         ,          ,TDF      ,6  ,SMNA ,MO,  ,  ,  ,  ,  ,  ,1800-2000,CART1,CEDM1,NWD,MSW,PKT                  ,                    ,                    ,                    ,20 ,16/01/2559 20:00
2800548,SEM TECH/VIS COMM ,3  ,                                                                                ,          ,         ,          ,TDF      ,6  ,PRAC ,MO,  ,  ,  ,  ,  ,  ,2000-2200,CART1,CEDM1,NWD,MSW,PKT                  ,                    ,                    ,                    ,20 ,16/01/2559 20:00
2800549,SEM MSG DSGN      ,3  ,                                                                                ,          ,         ,          ,TDF      ,6  ,PRAC ,SU,  ,  ,  ,  ,  ,  ,1300-1500,MKSW ,M05  ,JSP,TAW                      ,                    ,                    ,                    ,20 ,16/01/2559 20:00
2800549,SEM MSG DSGN      ,3  ,                                                                                ,          ,         ,          ,TDF      ,6  ,SMNA ,SU,  ,  ,  ,  ,  ,  ,1500-1700,MKSW ,M05  ,JSP,TAW                      ,                    ,                    ,                    ,20 ,16/01/2559 20:00
2800551,PSYCH MASS COMM   ,3  ,                                                                                ,          ,         ,          ,TDF      ,6  ,LECT ,TH,  ,  ,  ,  ,  ,  ,0900-1200,CART1,JR   ,DCS                          ,                    ,                    ,                    ,20 ,16/01/2559 20:00
2800553,CONVERGE JR       ,3  ,                                                                                ,          ,         ,          ,TDF      ,1  ,LECT ,TH,  ,  ,  ,  ,  ,  ,0900-1200,MKSW ,M05  ,STAFF                        ,                    ,                    ,                    ,20 ,16/01/2559 20:00
2800575,STG PLAN EVAL IC  ,3  ,                                                                                ,          ,         ,          ,TDF      ,1  ,LECT ,TU,  ,  ,  ,  ,  ,  ,1300-1600,MKSW ,M05  ,TTP                          ,                    ,                    ,                    ,40 ,16/01/2559 20:00
2800575,STG PLAN EVAL IC  ,3  ,                                                                                ,          ,         ,          ,TDF      ,6  ,LECT ,TU,  ,  ,  ,  ,  ,  ,1800-2100,MKSW ,M05  ,TTP                          ,                    ,                    ,                    ,40 ,16/01/2559 20:00
2800581,CREAT STG IC      ,3  ,                                                                                ,          ,         ,          ,TDF      ,1  ,LECT ,WE,  ,  ,  ,  ,  ,  ,1300-1600,MKSW ,M06  ,STAFF                        ,                    ,                    ,                    ,35 ,16/01/2559 20:00
2800581,CREAT STG IC      ,3  ,                                                                                ,          ,         ,          ,TDF      ,6  ,LECT ,WE,  ,  ,  ,  ,  ,  ,1800-2100,MKSW ,312  ,ASB                          ,                    ,                    ,                    ,40 ,16/01/2559 20:00
2800598,STG MGT MED COMM  ,3  ,                                                                                ,          ,         ,          ,TDF      ,1  ,LECT ,TH,  ,  ,  ,  ,  ,  ,1300-1600,MKSW ,312  ,WSK                          ,                    ,                    ,                    ,40 ,16/01/2559 20:00
