2601111,BUS ACCTG         ,3  ,                                                                                ,          ,         ,          ,TDF      ,1  ,LECT ,WE,  ,  ,  ,  ,  ,  ,1300-1600,COM3 ,304  ,STN                          ,GENED-SO            ,                    ,                    ,60 ,16/01/2559 20:00
2601112,INTRO FIN ACCTG   ,3  ,                                                                                ,29/02/2559,1040-1240,17/05/2559,1300-1600,1  ,LECT ,TH,  ,  ,  ,  ,  ,  ,1300-1600,COM1 ,319  ,SPU                          ,POL SCIENCE         ,                    ,                    ,50 ,16/01/2559 20:00
2601112,INTRO FIN ACCTG   ,3  ,                                                                                ,29/02/2559,1040-1240,17/05/2559,1300-1600,2  ,LECT ,TH,  ,  ,  ,  ,  ,  ,1300-1600,COM8 ,305  ,STAFF                        ,SAR ONLY            ,                    ,                    ,50 ,16/01/2559 20:00
2601113,PRIN ACCTG        ,3  ,                                                                                ,04/03/2559,0830-1030,03/05/2559,1300-1600,1  ,LECT ,WE,  ,  ,  ,  ,  ,  ,1300-1500,COM8 ,609  ,TVW                          ,ACCOUNTING ONLY     ,                    ,                    ,20 ,16/01/2559 20:00
2601113,PRIN ACCTG        ,3  ,                                                                                ,04/03/2559,0830-1030,03/05/2559,1300-1600,1  ,L/T  ,FR,  ,  ,  ,  ,  ,  ,0800-1000,COM8 ,609  ,TVW                          ,                    ,                    ,                    ,20 ,16/01/2559 20:00
2601114,COST ACCTG        ,3  ,2601113                                                                         ,04/03/2559,0830-1130,04/05/2559,1300-1600,1  ,LECT ,TU,  ,  ,  ,  ,  ,  ,1300-1500,COM1 ,224  ,PKS                          ,ACCOUNTING          ,                    ,                    ,60 ,16/01/2559 20:00
2601114,COST ACCTG        ,3  ,2601113                                                                         ,04/03/2559,0830-1130,04/05/2559,1300-1600,1  ,L/T  ,TH,  ,  ,  ,  ,  ,  ,0800-1000,COM1 ,224  ,PKS                          ,                    ,                    ,                    ,60 ,16/01/2559 20:00
2601114,COST ACCTG        ,3  ,2601113                                                                         ,04/03/2559,0830-1130,04/05/2559,1300-1600,2  ,LECT ,MO,  ,  ,  ,  ,  ,  ,1300-1500,COM3 ,204  ,WSY                          ,ACCOUNTING          ,                    ,                    ,60 ,16/01/2559 20:00
2601114,COST ACCTG        ,3  ,2601113                                                                         ,04/03/2559,0830-1130,04/05/2559,1300-1600,2  ,L/T  ,WE,  ,  ,  ,  ,  ,  ,1000-1200,COM2 ,220  ,WSY                          ,                    ,                    ,                    ,60 ,16/01/2559 20:00
2601114,COST ACCTG        ,3  ,2601113                                                                         ,04/03/2559,0830-1130,04/05/2559,1300-1600,3  ,LECT ,MO,  ,  ,  ,  ,  ,  ,1300-1500,COM3 ,108  ,OCS                          ,ACCOUNTING          ,                    ,                    ,60 ,16/01/2559 20:00
