5500112,EXP ENG II        ,3  ,5500111                                                                         ,29/02/2559,0830-1030,02/05/2559,0830-1030,115,L/P  ,TU,  ,  ,  ,  ,  ,  ,0800-1100,O.P.R,30811,STAFF                        ,MEDICINE            ,                    ,                    ,32 ,16/01/2559 20:00
5500112,EXP ENG II        ,3  ,5500111                                                                         ,29/02/2559,0830-1030,02/05/2559,0830-1030,115,PRAC ,AR,  ,  ,  ,  ,  ,  ,AR-AR    ,O.P.R,30811,STAFF                        ,                    ,                    ,                    ,32 ,16/01/2559 20:00
5500112,EXP ENG II        ,3  ,5500111                                                                         ,29/02/2559,0830-1030,02/05/2559,0830-1030,116,L/P  ,TU,  ,  ,  ,  ,  ,  ,0800-1100,PADTA,213  ,STAFF                        ,MEDICINE            ,                    ,                    ,32 ,16/01/2559 20:00
5500112,EXP ENG II        ,3  ,5500111                                                                         ,29/02/2559,0830-1030,02/05/2559,0830-1030,116,PRAC ,AR,  ,  ,  ,  ,  ,  ,AR-AR    ,PADTA,213  ,STAFF                        ,                    ,                    ,                    ,32 ,16/01/2559 20:00
5500112,EXP ENG II        ,3  ,5500111                                                                         ,29/02/2559,0830-1030,02/05/2559,0830-1030,117,L/P  ,TU,  ,  ,  ,  ,  ,  ,0800-1100,PADTA,214  ,STAFF                        ,MEDICINE            ,                    ,                    ,32 ,16/01/2559 20:00
5500112,EXP ENG II        ,3  ,5500111                                                                         ,29/02/2559,0830-1030,02/05/2559,0830-1030,117,PRAC ,AR,  ,  ,  ,  ,  ,  ,AR-AR    ,PADTA,214  ,STAFF                        ,                    ,                    ,                    ,32 ,16/01/2559 20:00
5500112,EXP ENG II        ,3  ,5500111                                                                         ,29/02/2559,0830-1030,02/05/2559,0830-1030,118,L/P  ,TU,  ,  ,  ,  ,  ,  ,0800-1100,PADTA,215  ,STAFF                        ,MEDICINE            ,                    ,                    ,32 ,16/01/2559 20:00
5500112,EXP ENG II        ,3  ,5500111                                                                         ,29/02/2559,0830-1030,02/05/2559,0830-1030,118,PRAC ,AR,  ,  ,  ,  ,  ,  ,AR-AR    ,PADTA,215  ,STAFF                        ,                    ,                    ,                    ,32 ,16/01/2559 20:00
5500112,EXP ENG II        ,3  ,5500111                                                                         ,29/02/2559,0830-1030,02/05/2559,0830-1030,119,L/P  ,MO,  ,  ,  ,  ,  ,  ,1300-1600,VET6 ,215  ,STAFF                        ,VETERINARY          ,                    ,                    ,29 ,16/01/2559 20:00
5500112,EXP ENG II        ,3  ,5500111                                                                         ,29/02/2559,0830-1030,02/05/2559,0830-1030,119,PRAC ,AR,  ,  ,  ,  ,  ,  ,AR-AR    ,VET6 ,215  ,STAFF                        ,                    ,                    ,                    ,29 ,16/01/2559 20:00
5500112,EXP ENG II        ,3  ,5500111                                                                         ,29/02/2559,0830-1030,02/05/2559,0830-1030,12 ,L/P  ,MO,  ,  ,  ,  ,  ,  ,1300-1600,ENG3 ,306  ,STAFF                        ,ENGINEERING         ,                    ,                    ,33 ,16/01/2559 20:00
5500112,EXP ENG II        ,3  ,5500111                                                                         ,29/02/2559,0830-1030,02/05/2559,0830-1030,12 ,PRAC ,AR,  ,  ,  ,  ,  ,  ,AR-AR    ,ENG3 ,306  ,STAFF                        ,                    ,                    ,                    ,33 ,16/01/2559 20:00
