2301103,CALCULUS I        ,3  ,                                                                                ,01/03/2559,1300-1600,04/05/2559,0830-1130,2  ,LECT ,TH,  ,  ,  ,  ,  ,  ,1000-1200,MHMK ,202  ,STAFF                        ,                    ,                    ,                    ,120,16/01/2559 20:00
2301107,CALCULUS I        ,3  ,                                                                                ,01/03/2559,1300-1600,04/05/2559,0830-1130,1  ,LECT ,MO,  ,  ,  ,  ,  ,  ,1200-1300,TAB  ,220  ,STAFF                        ,CHEMTECH,ENGINEERING,                    ,                    ,100,16/01/2559 20:00
2301108,CALCULUS II       ,3  ,2301107                                                                         ,01/03/2559,1300-1600,04/05/2559,0830-1130,1  ,LECT ,WE,  ,  ,  ,  ,  ,  ,0800-0930,ENG1 ,113  ,STAFF                        ,ENGINEERING         ,                    ,                    ,140,16/01/2559 20:00
2301108,CALCULUS II       ,3  ,2301107                                                                         ,01/03/2559,1300-1600,04/05/2559,0830-1130,1  ,LECT ,FR,  ,  ,  ,  ,  ,  ,0930-1100,ENG1 ,113  ,STAFF                        ,                    ,                    ,                    ,140,16/01/2559 20:00
2301108,CALCULUS II       ,3  ,2301107                                                                         ,01/03/2559,1300-1600,04/05/2559,0830-1130,2  ,LECT ,WE,  ,  ,  ,  ,  ,  ,0800-0930,ENG1 ,302  ,STAFF                        ,ENGINEERING         ,                    ,                    ,155,16/01/2559 20:00
2301108,CALCULUS II       ,3  ,2301107                                                                         ,01/03/2559,1300-1600,04/05/2559,0830-1130,2  ,LECT ,FR,  ,  ,  ,  ,  ,  ,0930-1100,ENG1 ,302  ,STAFF                        ,                    ,                    ,                    ,155,16/01/2559 20:00
2301108,CALCULUS II       ,3  ,2301107                                                                         ,01/03/2559,1300-1600,04/05/2559,0830-1130,3  ,LECT ,MO,  ,  ,  ,  ,  ,  ,0800-0930,ENG1 ,113  ,STAFF                        ,ENGINEERING         ,                    ,                    ,140,16/01/2559 20:00
2301108,CALCULUS II       ,3  ,2301107                                                                         ,01/03/2559,1300-1600,04/05/2559,0830-1130,3  ,LECT ,WE,  ,  ,  ,  ,  ,  ,0930-1100,ENG1 ,113  ,STAFF                        ,                    ,                    ,                    ,140,16/01/2559 20:00
2301108,CALCULUS II       ,3  ,2301107                                                                         ,01/03/2559,1300-1600,04/05/2559,0830-1130,4  ,LECT ,MO,  ,  ,  ,  ,  ,  ,0800-0930,ENG1 ,302  ,STAFF                        ,ENGINEERING         ,                    ,                    ,160,16/01/2559 20:00
2301108,CALCULUS II       ,3  ,2301107                                                                         ,01/03/2559,1300-1600,04/05/2559,0830-1130,4  ,LECT ,WE,  ,  ,  ,  ,  ,  ,0930-1100,ENG1 ,302  ,STAFF                        ,                    ,                    ,                    ,160,16/01/2559 20:00
2301108,CALCULUS II       ,3  ,2301107                                                                         ,01/03/2559,1300-1600,04/05/2559,0830-1130,5  ,LECT ,MO,  ,  ,  ,  ,  ,  ,0930-1100,ENG1 ,113  ,STAFF                        ,ENGINEERING         ,                    ,                    ,140,16/01/2559 20:00
2301108,CALCULUS II       ,3  ,2301107                                                                         ,01/03/2559,1300-1600,04/05/2559,0830-1130,5  ,LECT ,FR,  ,  ,  ,  ,  ,  ,0800-0930,ENG1 ,113  ,STAFF                        ,                    ,                    ,                    ,140,16/01/2559 20:00
2301108,CALCULUS II       ,3  ,2301107                                                                         ,01/03/2559,1300-1600,04/05/2559,0830-1130,6  ,LECT ,MO,  ,  ,  ,  ,  ,  ,0930-1100,ENG1 ,302  ,STAFF                        ,ENGINEERING         ,                    ,                    ,150,16/01/2559 20:00
2301108,CALCULUS II       ,3  ,2301107                                                                         ,01/03/2559,1300-1600,04/05/2559,0830-1130,6  ,LECT ,FR,  ,  ,  ,  ,  ,  ,0800-0930,ENG1 ,302  ,STAFF                        ,                    ,                    ,                    ,150,16/01/2559 20:00
2301108,CALCULUS II       ,3  ,2301107                                                                         ,01/03/2559,1300-1600,04/05/2559,0830-1130,7  ,LECT ,TU,  ,  ,  ,  ,  ,  ,1000-1200,MHMK ,202  ,STAFF                        ,CHEM TECH           ,                    ,                    ,120,16/01/2559 20:00
2301108,CALCULUS II       ,3  ,2301107                                                                         ,01/03/2559,1300-1600,04/05/2559,0830-1130,7  ,LECT ,FR,  ,  ,  ,  ,  ,  ,1000-1100,MHMK ,207  ,STAFF                        ,                    ,                    ,                    ,120,16/01/2559 20:00
2301113,CALCULUS I        ,4  ,                                                                                ,01/03/2559,1300-1600,04/05/2559,0830-1130,1  ,LECT ,MO,  ,  ,  ,  ,  ,  ,1200-1300,TAB  ,229  ,STAFF                        ,BIO SC,ENVI         ,                    ,                    ,50 ,16/01/2559 20:00
2301114,CALCULUS II       ,3  ,2301113                                                                         ,01/03/2559,1300-1600,04/05/2559,0830-1130,1  ,LECT ,MO,  ,  ,  ,  ,  ,  ,0900-1000,TAB  ,220  ,STAFF                        ,BIO SC,ENVI         ,                    ,                    ,145,16/01/2559 20:00
2301114,CALCULUS II       ,3  ,2301113                                                                         ,01/03/2559,1300-1600,04/05/2559,0830-1130,2  ,LECT ,MO,  ,  ,  ,  ,  ,  ,0900-1000,MHMK ,M02  ,STAFF                        ,BIO SC,ENVI         ,                    ,                    ,155,16/01/2559 20:00
2301115,CALCULUS BUS I    ,3  ,                                                                                ,01/03/2559,1300-1600,10/05/2559,0830-1130,1  ,LECT ,TU,  ,  ,  ,  ,  ,  ,0800-1000,COM1 ,225  ,STAFF                        ,                    ,                    ,                    ,100,16/01/2559 20:00
2301115,CALCULUS BUS I    ,3  ,                                                                                ,01/03/2559,1300-1600,10/05/2559,0830-1130,1  ,LECT ,FR,  ,  ,  ,  ,  ,  ,0800-0900,COM1 ,225  ,STAFF                        ,                    ,                    ,                    ,100,16/01/2559 20:00
2301117,CALCULUS I        ,4  ,                                                                                ,01/03/2559,1300-1600,04/05/2559,0830-1130,1  ,LECT ,MO,  ,  ,  ,  ,  ,  ,1200-1300,TAB  ,222  ,STAFF                        ,SCIENCE             ,                    ,                    ,120,16/01/2559 20:00
2301118,CALCULUS II       ,4  ,2301117                                                                         ,01/03/2559,1300-1600,04/05/2559,0830-1130,1  ,LECT ,MO,  ,  ,  ,  ,  ,  ,0800-0900,TAB  ,220  ,STAFF                        ,CHEM                ,                    ,                    ,150,16/01/2559 20:00
2301118,CALCULUS II       ,4  ,2301117                                                                         ,01/03/2559,1300-1600,04/05/2559,0830-1130,2  ,LECT ,MO,  ,  ,  ,  ,  ,  ,0800-0900,TAB  ,222  ,STAFF                        ,PHYS,MARINE         ,                    ,                    ,150,16/01/2559 20:00
2301118,CALCULUS II       ,4  ,2301117                                                                         ,01/03/2559,1300-1600,04/05/2559,0830-1130,3  ,LECT ,MO,  ,  ,  ,  ,  ,  ,0900-1000,TAB  ,221  ,STAFF                        ,MATH,COMPSC         ,                    ,                    ,180,16/01/2559 20:00
2301118,CALCULUS II       ,4  ,2301117                                                                         ,01/03/2559,1300-1600,04/05/2559,0830-1130,3  ,LECT ,TH,  ,  ,  ,  ,  ,  ,1000-1100,TAB  ,221  ,STAFF                        ,                    ,                    ,                    ,180,16/01/2559 20:00
2301118,CALCULUS II       ,4  ,2301117                                                                         ,01/03/2559,1300-1600,04/05/2559,0830-1130,4  ,LECT ,MO,  ,  ,  ,  ,  ,  ,0900-1000,TAB  ,222  ,STAFF                        ,FOOD                ,                    ,                    ,160,16/01/2559 20:00
2301118,CALCULUS II       ,4  ,2301117                                                                         ,01/03/2559,1300-1600,04/05/2559,0830-1130,4  ,LECT ,TH,  ,  ,  ,  ,  ,  ,1000-1100,TAB  ,222  ,STAFF                        ,                    ,                    ,                    ,160,16/01/2559 20:00
2301119,CAL BUS           ,4  ,                                                                                ,01/03/2559,1300-1600,04/05/2559,0830-1130,1  ,LECT ,MO,  ,  ,  ,  ,  ,  ,1000-1100,COM1 ,318  ,STAFF                        ,ACCOUNT             ,                    ,                    ,40 ,16/01/2559 20:00
2301119,CAL BUS           ,4  ,                                                                                ,01/03/2559,1300-1600,04/05/2559,0830-1130,1  ,LECT ,FR,  ,  ,  ,  ,  ,  ,1000-1300,COM1 ,318  ,STAFF                        ,                    ,                    ,                    ,40 ,16/01/2559 20:00
2301145,ANAL GEOMETRY     ,3  ,                                                                                ,04/03/2559,0830-1130,03/05/2559,1300-1600,1  ,LECT ,MO,  ,  ,  ,  ,  ,  ,1000-1100,TAB  ,231  ,STAFF                        ,EDUCATION           ,                    ,                    ,60 ,16/01/2559 20:00
2301145,ANAL GEOMETRY     ,3  ,                                                                                ,04/03/2559,0830-1130,03/05/2559,1300-1600,1  ,LECT ,WE,  ,  ,  ,  ,  ,  ,0900-1000,TAB  ,231  ,STAFF                        ,                    ,                    ,                    ,60 ,16/01/2559 20:00
2301170,COMP PROG         ,3  ,                                                                                ,02/03/2559,0830-1130,12/05/2559,0830-1130,1  ,LECT ,MO,  ,  ,  ,  ,  ,  ,1000-1100,TAB  ,222  ,STAFF                        ,CHEM                ,                    ,                    ,140,16/01/2559 20:00
2301170,COMP PROG         ,3  ,                                                                                ,02/03/2559,0830-1130,12/05/2559,0830-1130,2  ,LECT ,TU,  ,  ,  ,  ,  ,  ,0800-0900,MHMK ,302  ,STAFF                        ,ENVI,GEO            ,                    ,                    ,140,16/01/2559 20:00
2301170,COMP PROG         ,3  ,                                                                                ,02/03/2559,0830-1130,12/05/2559,0830-1130,2  ,LECT ,TH,  ,  ,  ,  ,  ,  ,1300-1500,MHMK ,302  ,STAFF                        ,                    ,                    ,                    ,140,16/01/2559 20:00
2301170,COMP PROG         ,3  ,                                                                                ,02/03/2559,0830-1130,12/05/2559,0830-1130,3  ,LECT ,MO,  ,  ,  ,  ,  ,  ,1000-1100,MHMK ,308  ,STAFF                        ,CHEMTECH            ,                    ,                    ,140,16/01/2559 20:00
2301170,COMP PROG         ,3  ,                                                                                ,02/03/2559,0830-1130,12/05/2559,0830-1130,3  ,LECT ,TH,  ,  ,  ,  ,  ,  ,1300-1500,TAB  ,221  ,STAFF                        ,                    ,                    ,                    ,140,16/01/2559 20:00
2301172,COMP PROG LAB     ,1  ,COREQ 2301170                                                                   ,          ,         ,          ,TDF      ,1  ,LAB  ,MO,  ,  ,  ,  ,  ,  ,1300-1500,MATH ,509/2,STAFF                        ,CHEMTECH            ,                    ,                    ,55 ,16/01/2559 20:00
2301172,COMP PROG LAB     ,1  ,COREQ 2301170                                                                   ,          ,         ,          ,TDF      ,2  ,LAB  ,TU,  ,  ,  ,  ,  ,  ,0800-1000,MATH ,509/2,STAFF                        ,CHEMTECH            ,                    ,                    ,50 ,16/01/2559 20:00
2301204,CALCULUS IV       ,3  ,2301203                                                                         ,01/03/2559,1300-1600,10/05/2559,1300-1600,1  ,LECT ,MO,  ,  ,  ,  ,  ,  ,0900-1000,COM1 ,135  ,STAFF                        ,                    ,                    ,                    ,60 ,16/01/2559 20:00
2301207,CALCULUS III      ,3  ,2301108                                                                         ,01/03/2559,1300-1600,10/05/2559,1300-1600,1  ,LECT ,TU,  ,  ,  ,  ,  ,  ,1300-1500,ENG3 ,415  ,STAFF                        ,ENGINEERING         ,                    ,                    ,100,16/01/2559 20:00
2301207,CALCULUS III      ,3  ,2301108                                                                         ,01/03/2559,1300-1600,10/05/2559,1300-1600,1  ,LECT ,TH,  ,  ,  ,  ,  ,  ,1200-1300,ENG3 ,415  ,STAFF                        ,                    ,                    ,                    ,100,16/01/2559 20:00
2301217,CALCULUS III      ,3  ,2301108 OR 2301118                                                              ,01/03/2559,1300-1600,10/05/2559,1300-1600,1  ,LECT ,MO,  ,  ,  ,  ,  ,  ,1200-1300,TAB  ,231  ,STAFF                        ,SCIENCE             ,                    ,                    ,40 ,16/01/2559 20:00
2301218,CALCULUS IV       ,3  ,2301108 OR 2301118 OR C.F.                                                      ,02/03/2559,0830-1130,13/05/2559,1300-1600,1  ,LECT ,TU,  ,  ,  ,  ,  ,  ,0900-1000,TAB  ,231  ,STAFF                        ,MATH MAJOR          ,                    ,                    ,70 ,16/01/2559 20:00
2301218,CALCULUS IV       ,3  ,2301108 OR 2301118 OR C.F.                                                      ,02/03/2559,0830-1130,13/05/2559,1300-1600,1  ,LECT ,FR,  ,  ,  ,  ,  ,  ,0800-1000,TAB  ,309  ,STAFF                        ,                    ,                    ,                    ,70 ,16/01/2559 20:00
2301222,PRIN MATH II      ,3  ,2301221                                                                         ,02/03/2559,1300-1600,11/05/2559,1300-1600,1  ,LECT ,MO,  ,  ,  ,  ,  ,  ,1100-1230,MHMK ,M02  ,STAFF                        ,EDUCATION           ,                    ,                    ,55 ,16/01/2559 20:00
2301222,PRIN MATH II      ,3  ,2301221                                                                         ,02/03/2559,1300-1600,11/05/2559,1300-1600,1  ,LECT ,FR,  ,  ,  ,  ,  ,  ,1300-1500,MHMK ,208  ,STAFF                        ,                    ,                    ,                    ,55 ,16/01/2559 20:00
2301223,MATH MODEL REASON ,3  ,                                                                                ,03/03/2559,0830-1130,10/05/2559,0830-1130,1  ,LECT ,MO,  ,  ,  ,  ,  ,  ,1000-1200,TAB  ,220  ,STAFF                        ,MATHEMATICS         ,                    ,                    ,60 ,16/01/2559 20:00
2301223,MATH MODEL REASON ,3  ,                                                                                ,03/03/2559,0830-1130,10/05/2559,0830-1130,1  ,LECT ,WE,  ,  ,  ,  ,  ,  ,1100-1200,TAB  ,221  ,STAFF                        ,                    ,                    ,                    ,60 ,16/01/2559 20:00
2301223,MATH MODEL REASON ,3  ,                                                                                ,03/03/2559,0830-1130,10/05/2559,0830-1130,2  ,LECT ,TU,  ,  ,  ,  ,  ,  ,0800-1000,MHMK ,201  ,STAFF                        ,COMP SCI            ,                    ,                    ,80 ,16/01/2559 20:00
