2501245,FUND THAI ARCH I  ,2  ,                                                                                ,          ,         ,          ,TDF      ,1  ,LECT ,AR,  ,  ,  ,  ,  ,  ,AR-AR    ,NART ,320  ,PYW                          ,                    ,                    ,                    ,20 ,16/01/2559 20:00
2501245,FUND THAI ARCH I  ,2  ,                                                                                ,          ,         ,          ,TDF      ,1  ,STU  ,AR,  ,  ,  ,  ,  ,  ,AR-AR    ,NART ,320  ,PYW                          ,                    ,                    ,                    ,20 ,16/01/2559 20:00
2501246,FUND THAI ARCH II ,2  ,2501245                                                                         ,          ,         ,          ,TDF      ,1  ,LECT ,AR,  ,  ,  ,  ,  ,  ,AR-AR    ,NART ,320  ,STAFF                        ,                    ,                    ,                    ,20 ,16/01/2559 20:00
2501246,FUND THAI ARCH II ,2  ,2501245                                                                         ,          ,         ,          ,TDF      ,1  ,STU  ,AR,  ,  ,  ,  ,  ,  ,AR-AR    ,NART ,320  ,STAFF                        ,                    ,                    ,                    ,20 ,16/01/2559 20:00
2501291,ARCH PSYCHOLOGY   ,3  ,                                                                                ,          ,         ,          ,TDF      ,1  ,LECT ,WE,  ,  ,  ,  ,  ,  ,0900-1200,NART ,319  ,PSU,WWP                      ,                    ,                    ,                    ,200,16/01/2559 20:00
2501296,THAI ARCH HERITAGE,3  ,                                                                                ,04/03/2559,0900-1200,10/05/2559,0900-1200,1  ,LECT ,FR,  ,  ,  ,  ,  ,  ,0900-1200,NART ,219  ,PPT,JSN                      ,AR,IA,TA,LA,URP     ,                    ,                    ,220,16/01/2559 20:00
2501299,BUDDHIST ART/ARCH ,3  ,                                                                                ,          ,         ,          ,TDF      ,1  ,LECT ,WE,  ,  ,  ,  ,  ,  ,1300-1600,ARCH1,313/1,WMD                          ,                    ,                    ,                    ,30 ,16/01/2559 20:00
2501318,ARCH DSGN V       ,4  ,2501316                                                                         ,02/03/2559,0900-1200,04/05/2559,0900-1200,1  ,STU  ,AR,  ,  ,  ,  ,  ,  ,AR-AR    ,NART ,704  ,PSY                          ,                    ,                    ,                    ,30 ,16/01/2559 20:00
2501318,ARCH DSGN V       ,4  ,2501316                                                                         ,02/03/2559,0900-1200,04/05/2559,0900-1200,2  ,STU  ,AR,  ,  ,  ,  ,  ,  ,AR-AR    ,NART ,704  ,CSW                          ,                    ,                    ,                    ,30 ,16/01/2559 20:00
2501318,ARCH DSGN V       ,4  ,2501316                                                                         ,02/03/2559,0900-1200,04/05/2559,0900-1200,3  ,STU  ,AR,  ,  ,  ,  ,  ,  ,AR-AR    ,NART ,704  ,SSS                          ,                    ,                    ,                    ,30 ,16/01/2559 20:00
2501318,ARCH DSGN V       ,4  ,2501316                                                                         ,02/03/2559,0900-1200,04/05/2559,0900-1200,4  ,STU  ,AR,  ,  ,  ,  ,  ,  ,AR-AR    ,NART ,704  ,TVR                          ,                    ,                    ,                    ,30 ,16/01/2559 20:00
2501318,ARCH DSGN V       ,4  ,2501316                                                                         ,02/03/2559,0900-1200,04/05/2559,0900-1200,5  ,STU  ,AR,  ,  ,  ,  ,  ,  ,AR-AR    ,NART ,704  ,STAFF,KCT                    ,                    ,                    ,                    ,30 ,16/01/2559 20:00
