2201327,THAI PRO WRIT     ,3  ,                                                                                ,          ,         ,10/05/2559,0830-1130,5  ,LECT ,WE,  ,  ,  ,  ,  ,  ,0930-1130,BRK  ,509  ,CPP                          ,                    ,                    ,                    ,31 ,16/01/2559 20:00
2201327,THAI PRO WRIT     ,3  ,                                                                                ,          ,         ,10/05/2559,0830-1130,5  ,DISC ,WE,  ,  ,  ,  ,  ,  ,1130-1230,BRK  ,509  ,CPP                          ,                    ,                    ,                    ,31 ,16/01/2559 20:00
2201327,THAI PRO WRIT     ,3  ,                                                                                ,          ,         ,10/05/2559,0830-1130,6  ,LECT ,WE,  ,  ,  ,  ,  ,  ,0930-1130,BRK  ,510  ,PPC                          ,                    ,                    ,                    ,31 ,16/01/2559 20:00
2201327,THAI PRO WRIT     ,3  ,                                                                                ,          ,         ,10/05/2559,0830-1130,6  ,DISC ,WE,  ,  ,  ,  ,  ,  ,1130-1230,BRK  ,510  ,PPC                          ,                    ,                    ,                    ,31 ,16/01/2559 20:00
2201327,THAI PRO WRIT     ,3  ,                                                                                ,          ,         ,10/05/2559,0830-1130,8  ,LECT ,WE,  ,  ,  ,  ,  ,  ,0930-1130,BRK  ,512  ,SAK                          ,                    ,                    ,                    ,31 ,16/01/2559 20:00
2201327,THAI PRO WRIT     ,3  ,                                                                                ,          ,         ,10/05/2559,0830-1130,8  ,DISC ,WE,  ,  ,  ,  ,  ,  ,1130-1230,BRK  ,512  ,SAK                          ,                    ,                    ,                    ,31 ,16/01/2559 20:00
2201327,THAI PRO WRIT     ,3  ,                                                                                ,          ,         ,10/05/2559,0830-1130,9  ,LECT ,WE,  ,  ,  ,  ,  ,  ,0930-1130,BRK  ,513  ,PPS                          ,                    ,                    ,                    ,31 ,16/01/2559 20:00
2201327,THAI PRO WRIT     ,3  ,                                                                                ,          ,         ,10/05/2559,0830-1130,9  ,DISC ,WE,  ,  ,  ,  ,  ,  ,1130-1230,BRK  ,513  ,PPS                          ,                    ,                    ,                    ,31 ,16/01/2559 20:00
2201351,READ COMP VERS I  ,3  ,                                                                                ,          ,         ,          ,TDF      ,1  ,LECT ,WE,  ,  ,  ,  ,  ,  ,1300-1500,BRK  ,514  ,TJT                          ,                    ,                    ,                    ,30 ,16/01/2559 20:00
2201351,READ COMP VERS I  ,3  ,                                                                                ,          ,         ,          ,TDF      ,1  ,DISC ,WE,  ,  ,  ,  ,  ,  ,1500-1600,BRK  ,514  ,TJT                          ,                    ,                    ,                    ,30 ,16/01/2559 20:00
