2716790,INDIV STUDY II    ,2  ,                                                                                ,          ,         ,          ,TDF      ,1  ,DISC ,AR,  ,  ,  ,  ,  ,  ,AR-AR    ,EDU4 ,AR   ,STAFF                        ,                    ,                    ,                    ,5  ,16/01/2559 20:00
2716790,INDIV STUDY II    ,2  ,                                                                                ,          ,         ,          ,TDF      ,10 ,DISC ,AR,  ,  ,  ,  ,  ,  ,AR-AR    ,EDU4 ,AR   ,ONT                          ,                    ,                    ,                    ,10 ,16/01/2559 20:00
2716790,INDIV STUDY II    ,2  ,                                                                                ,          ,         ,          ,TDF      ,11 ,DISC ,AR,  ,  ,  ,  ,  ,  ,AR-AR    ,EDU4 ,AR   ,YSF                          ,                    ,                    ,                    ,10 ,16/01/2559 20:00
2716790,INDIV STUDY II    ,2  ,                                                                                ,          ,         ,          ,TDF      ,12 ,DISC ,AR,  ,  ,  ,  ,  ,  ,AR-AR    ,EDU4 ,AR   ,RMS                          ,                    ,                    ,                    ,10 ,16/01/2559 20:00
2716790,INDIV STUDY II    ,2  ,                                                                                ,          ,         ,          ,TDF      ,13 ,DISC ,AR,  ,  ,  ,  ,  ,  ,AR-AR    ,EDU4 ,AR   ,YKK                          ,                    ,                    ,                    ,10 ,16/01/2559 20:00
2716790,INDIV STUDY II    ,2  ,                                                                                ,          ,         ,          ,TDF      ,14 ,DISC ,AR,  ,  ,  ,  ,  ,  ,AR-AR    ,EDU4 ,AR   ,PKK                          ,                    ,                    ,                    ,10 ,16/01/2559 20:00
2716790,INDIV STUDY II    ,2  ,                                                                                ,          ,         ,          ,TDF      ,15 ,DISC ,AR,  ,  ,  ,  ,  ,  ,AR-AR    ,EDU4 ,AR   ,SCK                          ,                    ,                    ,                    ,10 ,16/01/2559 20:00
2716790,INDIV STUDY II    ,2  ,                                                                                ,          ,         ,          ,TDF      ,16 ,DISC ,AR,  ,  ,  ,  ,  ,  ,AR-AR    ,EDU4 ,AR   ,CTY                          ,                    ,                    ,                    ,10 ,16/01/2559 20:00
2716790,INDIV STUDY II    ,2  ,                                                                                ,          ,         ,          ,TDF      ,17 ,DISC ,AR,  ,  ,  ,  ,  ,  ,AR-AR    ,EDU4 ,AR   ,RCC                          ,                    ,                    ,                    ,10 ,16/01/2559 20:00
2716790,INDIV STUDY II    ,2  ,                                                                                ,          ,         ,          ,TDF      ,18 ,DISC ,AR,  ,  ,  ,  ,  ,  ,AR-AR    ,EDU4 ,AR   ,PMR                          ,                    ,                    ,                    ,10 ,16/01/2559 20:00
2716790,INDIV STUDY II    ,2  ,                                                                                ,          ,         ,          ,TDF      ,19 ,DISC ,AR,  ,  ,  ,  ,  ,  ,AR-AR    ,EDU4 ,AR   ,WWW                          ,                    ,                    ,                    ,10 ,16/01/2559 20:00
2716790,INDIV STUDY II    ,2  ,                                                                                ,          ,         ,          ,TDF      ,2  ,DISC ,AR,  ,  ,  ,  ,  ,  ,AR-AR    ,EDU4 ,AR   ,STT                          ,                    ,                    ,                    ,5  ,16/01/2559 20:00
